id	audio	n_frames	tgt_text	src_text
			Wenn man ein Foto von der Erde vor 2 Millionen Jahren machen würde, würde man darauf keinen Hinweis auf menschliches Leben entdecken, denn damals gab es, wie wir meinen, noch keine Menschen.	if you took a picture of the earth two million years ago, there'd be no evidence of humans at all, because we don't think there were humans yet.
			Im Gegensatz dazu werden Theta-Wellen mit großer kognitiver Arbeit, wie zum Beispiel Verarbeitung visueller Reize assoziiert, Dinge, über die der Fahrer recht viel nachdenkt.	in contrast, theta waves are associated with a lot of cognitive activity, like visual processing, things where the driver is thinking quite a bit.
			Ich war ein sehr kreatives Kind, das viel las und erst die Elektronik entdeckte, dann das Programmieren, als ich noch sehr jung war.	i was a very creative kid who read a lot, and got into electronics first, and then later, programming computers, when i was really young.
			Die Regierung von Großbritannien – jede Regierung ist potentiell der schlimmste Kunde der Welt, den man sich bloß vorstellen kann.	the british government — any government is potentially the worst client in the world you could ever possibly want to have.
			Ich möchte darlegen, dass auch wenn Afrika nicht die Frontlinie des Krieges gegen Terror ist es das bald sein könnte.	i want to argue that though africa is not the front line in the war against terror, it could be soon.
			Und ich möchte den Rahmen gern etwas weiter spannen, und das Gespräch über Mitgefühl von der globalen zur persönlichen Ebene bringen.	and i'd like to do a little collateral thinking, if you will, about compassion and bring it from the global level to the personal.
			Ich kann Sarah Palins Tochter weiter tanzen lassen.	i can keep sarah palin's daughter dancing.
			Das Lassa-Virus ähnelt Ebola sehr stark.	lassa virus is a lot like ebola.
			Ich bin schon lange an Essen interessiert.	i've been interested in food for a long time.
			Sie kommen eher ins Geschäft, wenn Sie zwei Optionen bieten.	you're going to more likely make the sale if you give them two options.
			Ich bin keine Immigrantin, kein Flüchtling oder Exilantin. Ich werde gefragt, warum ich das tue. Aber das Pendeln zwischen Sprachen ermöglicht es mir, mich selbst neu zu erfinden.	i'm not an immigrant, refugee or exile — they ask me why i do this — but the commute between languages gives me the chance to recreate myself.
			Ich zeige Ihnen, wie.	i'll show you how.
			Öffentlicher Raum. Das ist ein guter öffentlicher Raum.	public space. this is a good public space.
			Einige sagen, es sieht nicht gut aus.	the signs don't look good, some have said.
			Als ich dieses Bild machte, wurde mir klar, dass "Day to Night" eine wirklich neue Art des Sehens ist, die die Zeit komprimiert, und das Raum-Zeit-Kontinuum innerhalb eines Bildes erkundet.	when i created this picture, i realized that day to night is really a new way of seeing, compressing time, exploring the space-time continuum within a photograph.
			Und wir verlieren ein bisschen Zeit dabei. Keine großes Ding. Es macht keinen Unterschied. "Also gaben sie die 10 Behandlungen und die erste — die übliche Behandlung, war übrigen sechs bis acht und ist immer noch sechs bis acht — steckten mich an die Kabel an, versetzten mich in Schlaf, gaben mir ein Muskelrelaxant. Sechs half nicht. Sieben half nicht. Acht half nicht. Bei neun bemerkte ich — und es ist wundervoll, dass ich überhaupt etwas bemerkte — Ich bemerkte eine Veränderung.	and so we'll lose a little time. big deal. it doesn't make any difference. "so they gave the course of 10, and the first — the usual course, incidentally, was six to eight and still is six to eight. plugged me into the wires, put me to sleep, gave me the muscle relaxant.
			Mich interessierte, was in der Tüte los war, in der Tüte auf dem Spielwarenladenregal, wo diese Garnelen auf unbestimmte Zeit in suspendierter Animation herumlagen.	i was interested in what was going on in the bag, the bag on the toy store shelf where those shrimp sat in suspended animation indefinitely.
			Die Technik stellt hier den einfachen Teil dar.	and the way i describe it is this.
			Schließlich muss man in diesem Rahmen, irgendwo zwischen Seite 1 und 300 beantworten warum die Dinge passieren, wie sie passieren, und in welcher Reihenfolge.	because, after all, in that framework, between page one and 300, you have to answer this question of why things happen, how things happen, in what order they happen.
			Sie machen das, was wir stets gemacht haben, wenn wir mit riesigen Datenmengen konfrontiert sind, die wir nicht verstehen – nämlich ihnen einen Namen zu geben und eine Geschichte.	and they do what we've always done when confronted with huge amounts of data that we don't understand — which is that they give them a name and a story.
			Und das Problem war folgendes: Ich wollte das Objekt mit allen seinen Einzelheiten.	and the problem was that: i wanted the entirety of the object, i wanted the weight behind the object.
			Alles, wonach wir suchen.	all the right stuff.
			Sie können sich so ein Joystick bauen und Pacman auf Ihrem Computer finden und loslegen. (Videospiel-Geräusche) Kennen Sie die kleinen Plastikschubladen, die man kaufen kann?	and you can literally draw joysticks and just find pacman on your computer and then just hook it up. (video game noises) and you know the little plastic drawers you can get at target?
			Jedermann konzentriert sich auf die Dinge, die uns umbringen, und darauf konzentrierte ich mich ebenfalls.	everybody focuses on the things that kill us, and that's what i was focusing on.
			Eigenschaft Nummer drei: Sie sind die wirksamsten Heiler von Brüchen überhaupt.	they're also, number three, the most efficient repairers of fractures that we've ever encountered.
			SMSen hat eine sehr lockere Struktur.	and so, texting is very loose in its structure.
			(Video) Testpilot: Bis das Fahrzeug fliegt, bestehen 75 Prozent der Gefahr im ersten Flug.	(video) test pilot: until the vehicle flies, 75 percent of your risk is that first flight.
			Für uns hängt beides zusammen. Ich glaube, ohne Sicherheit gibt es keine Privatsphäre. Zuerst möchte ich etwas zur Sicherheit sagen, weil du nach Snowden und all dem gefragt hast, und dann sage ich etwas zur Privatsphäre.	we think about it in terms of both things, and i think you can't have privacy without security, so let me just talk about security first, because you asked about snowden and all of that, and then i'll say a little bit about privacy.
			Möchten Sie es daran messen, wie lange es dauerte, die maximale Körpergröße zu erreichen?	you want to measure it by the time it took to reach maximum body size?
			Das ist die Bewegung, die ich im Moment vorantreibe, und das ist die Bewegung und das Ziel meines Lebens.	that's the movement at the moment i'm driving, and that's the movement and ambition of my life.
			Im Wesentlichen sind sie zur Wahl gegangen um auszudrücken, dass sie niemandem wählen konnten.	basically they went to the ballot boxes to tell that they have nobody to vote for.
			Diese sehr intensive Zeit, die wir miteinander verbringen ist etwas, das wir schätzen und jedes Jahr freudig erwarten.	this very focused time we get to spend together is something we cherish and anticipate the entire year.
			Und fast täglich müssen sie dafür ihre Leben riskieren.	and they have to risk their lives almost every day to do this.
			Es gibt nichts vergleichbares zu Al-Quaida, ohne den Terrorismus, für Demokratie in mehrheitlich muslimischen Gesellschaften.	there is no equivalent of the al-qaeda, without the terrorism, for democracy across muslim-majority societies.
			Und was fanden wir dort?	and what did we find?
			Das sind Dinge die von der Geschäftswelt bereitgestellt werden.	those are the things to be provided by the business community.
			Sie sind uns heilig und wir geben unser Bestes, um sie zu hegen, zu pflegen und zu schützen.	we call them sacred, and we do our best to cherish them, to protect them and to keep them safe.
			Mit dem Computermodell können wir unser Sprachmodell testen.	given the computer model, we can test the model by essentially quizzing it.
			der von Experten beurteilt und veröffentlicht wird.	it's subject to peer review and subject to publication.
			Wie viel hat es gekostet? "Ich sagte," Es ist mein Preis von einem Kunstwettbewerb ".	you know, like just adjacent to me. he just started asking, "where did you buy the radio?
			Vor langer Zeit hast du den Namen der neun Musen einen Abschiedskuss gegeben. und du hast zugeschaut, wie die quadratische Gleichung ihre Tasche packt.	long ago, you kissed the names of the nine muses good-bye and you watched the quadratic equation pack its bag.
			In Niger war ich verblüfft, wie die Einheimischen eine andere Art Wüstenquelle nutzen.	in niger, i was amazed to see how the locals learned how to exploit a different kind of desert spring.
			Das war ein vollgestopftes Kapitel mit Malerei von schwarzen Menschen und schwarzen Malern.	now, this was a crammed in section that had representations of black people in painting and black people who painted.
			Und wir können das Ende von Moores Gesetz seit einiger Zeit vorhersagen – die ersten Vorhersagen lauteten 2002, aktuell sagen sie 2022.	and because we've been predicting the end of moore's law for quite a long time — the first prediction said 2002, until now it says 2022.
			Und jeder dieser Vögel, der die Überquerung des Ozeans von Indien nach Ostafrika schafft, frisst Insekten. Große Insekten von der Größe einer Libelle.	and every one of these birds that makes the crossing from india to east africa eats insects, large insects, the size of dragonflies.
			Die große konservative Erkenntnis ist, dass Ordnung schwer zu erreichen ist.	the great conservative insight is that order is really hard to achieve.
			Denn falls wir das nicht tun, werden wir uns irgendwann wie Außerirdische fühlen, in Unternehmen und Gesellschaften, die voll von intelligenten Maschinen sind, die kein Verständnis für das Unnötige, das Vetraute, das Unvollständige und sicher nicht für das Hässliche haben.	because if we don't, we might end up feeling like aliens in organizations and societies that are full of smart machines that have no appreciation whatsoever for the unnecessary, the intimate, the incomplete and definitely not for the ugly.
			Vielleicht haben Sie dabei einen Hintergedanken, vielleicht nicht.	maybe you have something in mind, maybe not.
			Es wird dann in die Umkleide gebracht, und in der Umkleide gibt es auch Scanner damit wir genau wissen welche Kleidungsstücke du in der Umkleide hast.	it's taken into the dressing room, and in the dressing room there are scanners so that we know exactly what clothing you have in the dressing room.
			Und nach jeder Fahrt sitzen wir zusammen und sprechen über Momente, in denen diese besonderen Worte des Tages aufgetaucht sind und einen Unterschied gemacht haben. Und diese Diskussionen können außerordentlich inspirierend sein.	and at the end of each ride, we sit together and share moments in which those special words of the day popped up and made a difference, and these discussions can be extremely inspiring.
			Man kann die Hardware verschiedene Dinge zu verschiedenen Zeiten tun lassen. Oder eine Hardware führt verschiedene Dinge aus.	you can take a hardware and have that hardware do different things at different times, or have different parts of the hardware doing different things.
			Er macht seine eigenen CDs.	he makes his own cds.
			Bis vor ein paar Jahren half absolut nichts. Dann sahen sich meine sechsjährigen Töchter einen Rollstuhlkatalog an und meinten,	nothing whatsoever worked until a few years ago, my six-year-old daughters were looking at this wheelchair catalog that i had, and they said,
			Damit komme ich zur letzten der großen Fragen: Die Zukunft der Menschheit.	this brings me to the last of the big questions: the future of the human race.
			CA: Das wäre eine große Story. (Lachen) Wie stehen Ihrer Ansicht nach die Chancen, dass auf irgendeinem anderen Planeten Leben herumläuft, das nicht auf Kohlenstoff basiert, läuft oder kriecht oder so?	ca: that would be a big story. (laughter) in your own mind, what do you believe the chances are that walking around on some other planet is non-carbon-based life, walking or oozing or something?
			Das heißt, wir sind aufgewacht und haben nach Luft geschnappt. Denn unsere Blutzusammensetzung hatte sich geändert.	so you'd wake up gasping with breath, because your blood chemistry has changed.
			Grün, gelb und rot kategorisieren Meerestierarten.	green, yellow and red lists [of] seafood species.
			Ich werde Woche um Woche wieder zurück kommen. "Und Schritt drei begann, als mir bewusst wurde, das ich keine Gedichte schreiben musste, die zornig waren, wenn ich es nicht war.	i will keep coming back week after week. "and step three began when i realized i didn't have to write indignant poems, if that's not what i was.
			Zehn Seiten voller Gleichungen später konnten wir wirklich die gesamte, analytische Lösung für dieses dynamische System aufschreiben.	ten pages of math later, we could actually write down the complete analytical solution for this dynamic system.
			Wir vermuten also ganz selbstverständlich, dass es einen Kern oder eine Essenz von uns gibt, die erschlossen werden muss.	so i think that we have a common-sense idea that there is a kind of core or essence of ourselves to be discovered.
			Hier einmal vorher, und einmal danach.	here's the before, and here's the after.
			Ich sagte nur so aus Spaß, wirklich nur aus Spaß: "Ich habe das einmal ausgerechnet.	and i said as a joke — as a joke, i said, "i did the math.
			Tests zeigen, dass Sie sich Tage später viel besser daran erinnern, dass ich von einem Stuhl sprach.	you can do tests that show that you'll remember that i was talking about a chair a couple of days later a lot better.
			Bis vor wenigen Monaten wurde Guatemala von korrupten ehemaligen Militäroffizieren mit Verbindungen zum organisierten Verbrechen regiert.	until a few months ago, guatemala was ruled by corrupt former military officials with ties to organized crime.
			Er ist sehr egoistisch: er befördert nur ein bis zwei Menschen, und er fragt dauernd nach neuer Infrastruktur. Autobahnen. Er ist sehr fordernd.	very egotistical: he carries only one or two people and he asks always for more infrastructure. freeways. he's a very demanding person.
			Nein, nein, das stimmt nicht: Ich trat 1956 bei, verließ sie 1959, arbeitete an der Universität von Washington, und nachdem ich einen Artikel in einem Magazin gelesen hatte, entwickelte ich eine Idee für eine neue Art von Grammophon-Tonarm.	no, no, that's not true: i went in in 1956, came out in 1959, was working at the university of washington, and i came up with an idea, from reading a magazine article, for a new kind of a phonograph tone arm.
			Über einen Zeitraum von 20 Jahren hinweg wandte man sich mit Artikeln und Klagen an die Kirche: "Ihr könnt uns doch nicht erzählen, wie wir unser Leben zu führen haben.	it was something that happened over the space of 20 years of editorials and complaints, saying to the church, "you can't possibly tell us how to live our lives.
			Niemand schenkte ihm Aufmerksamkeit.	no one was paying attention.
			Es ist der perfekte Fahrmechanismus.	it's the perfect driving mechanism.
			So würde Nicole aussehen, wenn wir nicht tun würden, was wir tun.	this is what nicole would look like if we weren't doing what we were doing.
			Mit 19 half ich einer Freundin, deren Eltern sie mit einem älteren Mann zwangsverheiratet hatten, aus einer missbräuchlichen Ehe zu fliehen.	at 19, i helped a friend whose parents had forcefully married her to an older man escape an abusive marriage.
			Meistens heißt das Schattenwirtschaft, Untergrund-Wirtschaft, Schwarzmarkt.	it's traditionally called the informal economy, the underground economy, the black market.
			Wind und Solar helfen nicht, da wir bisher diese Energie nicht zu speichern vermögen.	wind and solar can't help, because so far we don't have a way to store that energy.
			Keine einzelne Erzählung erfüllt die Bedürfnisse von allen an allen Orten.	no single narrative serves the needs of everyone everywhere.
			Dann gibt es noch Dan Etete.	and then there's dan etete.
			Als die Himmel aufklarten, war eine neue Welt enststanden.	when the skies cleared, a new world was born.
			Ich bin doch der abgebrühte Abenteurer.	i'm supposed to be the roughty toughty explorer type.
			Und irgendwann kommt der Boden der Tiefsee in den Blick.	and eventually, the deep sea floor would come into view.
			Vielen Dank.	thank you.
			Und schließlich gebe ich die Sache auf.	and eventually, i would let it go.
			Es ist ein Wettkampf den wir veranstalten, der zweite X-Preis, für das erste Team, das die Sequenzierung von 100 menschlichen Genomen in 10 Tagen schafft.	it's a competition we're holding, the second x prize, for the first team to sequence 100 human genomes in 10 days.
			Ich habe einen Schwager namens Bobo – das ist eine ganz andere Geschichte.	i have a brother in-law named bobo, which is a whole other story.
			Deshalb Death Valley (das Tal des Todes).	hence, death valley.
			Es gibt fast keine tauben Chirurgen.	there are almost no deaf surgeons anywhere.
			Um genau zu sein, er sah aus wie ein Gebäude, das wir für ein Hotel im Norden Schwedens entworfen hatten.	in fact he looked like a building we had designed for a hotel in the north of sweden.
			Und wenn alles glatt läuft wird man in ein oder zwei Wochen wissen, wo die Epidemie heute war.	and if everything goes smoothly, one to two weeks from now you'll know where the epidemic was today.
			Können Sie uns zeigen, was für ein guter Pilot Sie sind?	can you show us how good of a pilot you are?
			Die Bäume sind übrigens häufiger dann beliebt, wenn sie sich in Bodennähe gabeln, wenn sie sozusagen Bäume sind, die man hochklettern könnte, wenn man in der Klemme steckt.	the trees, by the way, are often preferred if they fork near the ground, that is to say, if they're trees you could scramble up if you were in a tight fix.
			Der Präsident der Malediven hat kürzlich ein Scheinkabinett-Treffen unter Wasser geleitet, um den Ernst der Lage dieser Länder einmal mehr zu verdeutlichen.	the president of the maldives conducted a mock cabinet meeting underwater recently to highlight the dire straits of these countries.
			Man braucht so etwas wie zig Megatonnen an Wasser – beinahe eine Gigatonne an Wasser – um eine Chance zu haben, das Neutrino zu erwischen.	you need something like tens of megatons of water — almost a gigaton of water — in order to have any chance of catching this neutrino.
			AV: Ein kurzes Bonus-Tabu für Sie, dass wir nicht zusammen arbeiten sollten, ganz besonders mit drei Kindern — aber wir tun es trotzdem.	av: a quick bonus taboo for you, that we should not be working together, especially with three children — and we are.
			Und wir haben Experimente durchgeführt, die zeigen, dass je länger eine Ameise sich draussen aufhält, desto mehr sich die einfache Hydrokarbone auf ihrer Oberfläche sich verändern. Dadurch riechen die Ameisen dadurch unterschiedlich, dass sie unterschiedliche Arbeiten ausführen.	and we've done experiments that show that that's because the longer an ant stays outside, the more these simple hydrocarbons on its surface change, and so they come to smell different by doing different tasks.
			All diese Expertise in diesem einen Raum, wenn wir uns alle zusammentäten, könnten wir die Welt verändern.	in this room, all this expertise, if we joined it all together, we could change the world.
			Außerdem haben sie ein großes Fassungsvermögen.	they also have great capacity.
			Und so funktioniert ein Crash-Test.	and then, here's how the crash test works.
			Nicht, dass das weithergeholt wäre oder so.	it makes perfect sense.
			Das Neue ist die Aufstockung und die Gesichter der Ärzte an sich: ein ELAM-Absolvent ist häufiger eine Frau als ein Mann; im Amazonas, in Peru oder Guatemala, ein indigener Arzt. In den USA, ein Schwarzer, der perfekt Spanisch spricht.	what's new is the scaling up and the faces of the doctors themselves: an elam graduate is more likely to be a she than a he; in the amazon, peru or guatemala, an indigenous doctor; in the usa, a doctor of color who speaks fluent spanish.
			Er hatte PTBS und Höhenangst, weil er sich in Vietnam über Abgründen rückwärts aus Helikoptern abseilen musste. Er bekam einen Partnerhund namens Gander, einen Labradoodle, um ihm mit PTBS und Höhenangst zu helfen.	and he had ptsd and also a fear of heights, because in vietnam, he had been rappelling backwards out of helicopters over the skids, and he was givena service dog named gander, a labradoodle, to help him with ptsd and his fear of heights.
			Tom macht seine Brotdose auf und es ist Reis darin, daraufhin mault er "Zwanzig Jahre lang hat mir meine Frau jetzt Reis als Mittagessen eingepackt.	and tom opens up his lunch box and there's rice in it, and he goes on this rant about, "twenty years, my wife has been packing rice for lunch.
			Aber wir haben ja gesehen, wozu das führt.	but, of course, we've seen what that does.
			Travis Kalanick: Danke!	travis kalanick: thank you.
			Wenn ich ihr einen Gamora-Rucksack kaufen will, dann ist Gamora nicht drauf.	if i wanted to buy her a gamora backpack, well, gamora's not on it.
			Diese Männer bedeckten die Wände mit einem Fries aus reiner Farbe. In diesen Geschichten entdeckt man bekannte Landschaften. Die Künstler malten römische Denkmäler oder eine toskanische Landschaft, um eine Geschichte, die in fernen Ländern spielt, vertrauter zu machen.	these men, they blanketed the walls with a frieze of pure color, and in these stories you'll notice familiar landscapes, the artists using roman monuments or a tuscan landscape to render a faraway story, something much more familiar.
			Aber ich sortierte mich neu, suchte nach neuen Träumen und entschied mich letztlich, Wissenschaftlerin zu werden. Vielleicht der nächste Albert Einstein.	but i gathered myself, went off in search of a new dream, eventually settling on being a scientist, perhaps something like the next albert einstein.
			(Gelächter)	(laughter)
			Und zwar nicht nur für sie selbst, sie ernähren auch Dörfer und sorgen für Wirtschaftswachstum.	so when farmers become more productive, they earn more food, and they don't just help themselves, but they help to feed healthy communities and thriving economies.
			Als diese Mudschahedin die Sowjetunion bezwungen hatten, haben wir uns zurückgelehnt.	when those mujahideen defeated the soviet union, we disengaged.
			Ihr Nutzen variiert und trägt zur Veränderung im gesellschaftlichen Umgang mit älteren Menschen bei.	their usefulness varies and contributes to variation in the society's treatment of the elderly.
			Ich gebe Ihnen ein Beispiel aus Ägypten, um das deutlicher zu machen.	to tell you what i mean, consider this trend in egypt.
			In der Nacht sterbe ich.	in the night, i die.
			Bist du die Idee, die zu mir passt?	are you that idea that matches with who i really am?
			Vielen Dank.	thank you very much.
			Schließlich sind Parasiten eher klein und verbringen einen Großeil ihrer Zeit in den Körpern von anderen. Man übersieht sie leicht, aber das heißt nicht, dass sie nicht wichtig sind.	they're easy to overlook, but that doesn't mean that they aren't important.
			Als die Leute in den 70ern wieder begannen darüber nachzudenken, sagten sie: "Natürlich gibt es bei Schizophrenie Schlafstörungen, die Leute nehmen doch Neuroleptika." Es sind die Neuroleptika, die die Schlafstörungen verursachen.	in the 1970s, when people started to think about this again, they said, "yes, well, of course you have sleep disruption in schizophrenia, because they're on antipsychotics.
			Ich möchte ja, dass Spiele für Gutes auf der Welt stehen, ich möchte nicht, dass Spieler die Zeit bereuen, die sie mit Spielen verbracht haben, zu denen ich sie ermutigt habe.	i want games to be a force for good in the world. i don't want gamers to regret the time they spent playing, time that i encouraged them to spend.
			Aber er schien nervös.	but he seemed nervous.
			Ich denke, wir sollten es noch eindeutiger machen.	i think we should make this even more explicit.
